summary id, experiment id, active hosts, packet size, packets sent, bits sent, bit times elapsed, average transmission delay
1091,1175,18,768,15356,96804224,100003049.775972,9062.88043922989
1092,1176,18,1024,11642,97233984,100003788.30717,12252.5294469981
1093,1177,18,1536,7842,97617216,100000946.076775,18711.7953647238
1094,1178,18,2048,5926,98039744,100000010.739178,22185.634510479
1095,1179,18,3072,3982,98498752,100010293.783985,31536.6489731613
1096,1180,18,4000,3073,98827680,100006694.865585,42368.8006443028
1097,1181,19,64,132483,89028576,100000028.321503,2869.67167853374
1098,1182,19,128,79982,94698688,100000013.675121,1457.27183652661
1099,1183,19,256,43126,95222208,100000006.692785,3207.78752104517
1100,1184,19,512,22635,96334560,100000620.012757,6070.90306939328
1101,1185,19,768,15321,96583584,100000352.084772,9663.47940413879
1102,1186,19,1024,11618,97033536,100000926.561574,13206.7424708066
1103,1187,19,1536,7849,97704352,100005675.577574,17125.4347874627
1104,1188,19,2048,5921,97957024,100002058.078378,24291.0807015834
1105,1189,19,3072,3983,98523488,100015306.564782,31458.2095146023
1106,1190,19,4000,3070,98731200,100000383.703985,40946.2476314223
1107,1191,20,64,131517,88379424,100000107.971096,3263.99896230556
1108,1192,20,128,79683,94344672,100000225.415958,1742.24959690849
1109,1193,20,256,43134,95239872,100001347.067166,3560.30583886743
1110,1194,20,512,22584,96117504,100000052.943968,6550.40808105975
1111,1195,20,768,15344,96728576,100000019.665561,9474.18166208872
1112,1196,20,1024,11616,97016832,100004258.115171,13528.661858151
1113,1197,20,1536,7838,97567424,100000012.601576,18031.2054139698
1114,1198,20,2048,5925,98023200,100005846.699177,24905.4539649052
1115,1199,20,3072,3979,98424544,100000060.427183,33911.4661290255
1116,1200,20,4000,3069,98699040,100024419.342385,40265.3706801943
1117,1201,21,64,131018,88044096,100000010.748695,3570.0576273062
1118,1202,21,128,79314,93907776,100000826.790392,1675.94255243802
1119,1203,21,256,43018,94983744,100000020.239981,3395.32436997634
1120,1204,21,512,22526,95870656,100001508.588768,6852.58499354996
1121,1205,21,768,15298,96438592,100000903.975972,9833.05934269867
1122,1206,21,1024,11608,96950016,100001141.305571,12422.5606997973
1123,1207,21,1536,7836,97542528,100002472.524771,17736.3541616352
1124,1208,21,2048,5923,97990112,100008171.119976,23283.2092208315
1125,1209,21,3072,3979,98424544,100003997.707184,34698.8908478001
1126,1210,21,4000,3070,98731200,100008382.790386,41697.5329841415
1127,1211,22,64,129915,87302880,100000419.308705,3608.51689856597
1128,1212,22,128,79282,93869888,100000498.588755,1751.83675737622
1129,1213,22,256,42961,94857888,100000912.505568,3821.2297378773
1130,1214,22,512,22488,95708928,100001422.110365,7205.23114250347
1131,1215,22,768,15287,96369248,100000348.171166,10225.5936000692
1132,1216,22,1024,11585,96757920,100002929.454369,13516.5139896931
1133,1217,22,1536,7828,97442944,100000754.809576,20386.3195567832
1134,1218,22,2048,5916,97874304,100000690.121578,25071.4282481582
1135,1219,22,3072,3976,98350336,100002318.654382,34687.5275765485
1136,1220,22,4000,3068,98666880,100011113.819185,45476.2896088817
1137,1221,23,64,129107,86759904,100000008.478319,4280.23548856094
1138,1222,23,128,79018,93557312,100000923.457568,1717.47662667884
1139,1223,23,256,42919,94765152,100000373.063951,3582.59275021311
1140,1224,23,512,22498,95751488,100000189.033556,7274.70783384436
1141,1225,23,768,15276,96299904,100000113.271961,9645.84394032179
1142,1226,23,1024,11584,96749568,100003722.559966,14113.5148399383
1143,1227,23,1536,7822,97368256,100000028.590375,20130.7372331305
1144,1228,23,2048,5913,97824672,100000775.953577,24633.1389172398
1145,1229,23,3072,3977,98375072,100000170.961581,35549.1648585145
1146,1230,23,4000,3068,98666880,100004238.825584,45855.654951259
1147,1231,24,64,128473,86333856,100000007.107123,4894.97741718239
1148,1232,24,128,78890,93405760,100000298.751967,1904.8412667655
1149,1233,24,256,42807,94517856,100000489.369554,3552.31541918338
1150,1234,24,512,22444,95521664,100001557.177564,7612.88159143066
1151,1235,24,768,15255,96167520,100000358.694368,10908.914414614
1152,1236,24,1024,11576,96682752,100000873.50557,14271.6322215737
1153,1237,24,1536,7820,97343360,100000907.987176,19431.1536322312
1154,1238,24,2048,5908,97741952,100001716.539178,25099.4167330623
1155,1239,24,3072,3976,98350336,100007825.134382,33945.9344430611
1156,1240,24,4000,3067,98634720,100000304.542385,45855.6798107929
